expense_id,trip_id,asset_id,expense_date,expense_category,expense_type,description,amount_usd,country,city,payment_method,vendor_name,receipt_number,reimbursement_status,approved_by
EXP-00717,TRP-0470,AST-043,2024-01-14,Fuel,Operational,Diesel fuel for Arusha-Eldoret trip,368.14,Tanzania,Arusha,Company Card,Shell Tanzania,RCT-48362,Approved,Finance Manager
EXP-00718,TRP-0471,AST-022,2024-07-07,Fuel,Operational,Diesel fuel for Butare-Kisumu trip,202.78,Rwanda,Butare,Company Card,Total Rwanda,RCT-15688,Approved,Operations Manager
EXP-00719,TRP-0471,AST-022,2024-07-07,Border Fees,Operational,Rwanda-Kenya border crossing fees,39.27,Kenya,Border Crossing,Cash,Kenya Revenue Authority,BRD-6077,Approved,Operations Manager
EXP-00720,TRP-0472,AST-053,2024-03-28,Fuel,Operational,Diesel fuel for Bahir Dar-Dire Dawa trip,155.26,Ethiopia,Bahir Dar,Cash,Shell Ethiopia,RCT-94084,Approved,Operations Manager
EXP-00721,TRP-0473,AST-118,2025-02-28,Fuel,Operational,Diesel fuel for Jinja-Gulu trip,74.48,Uganda,Jinja,Cash,Puma Energy Uganda,RCT-16558,Approved,Operations Manager
EXP-00722,TRP-0474,AST-098,2024-07-22,Fuel,Operational,Diesel fuel for Nairobi-Nakuru trip,90.71,Kenya,Nairobi,Cash,Kobil Kenya,RCT-48295,Approved,Operations Manager
EXP-00723,TRP-0475,AST-118,2024-08-05,Fuel,Operational,Diesel fuel for Entebbe-Mbarara trip,126.31,Uganda,Entebbe,Company Card,Total Uganda,RCT-97169,Approved,Finance Manager
EXP-00724,TRP-0476,AST-011,2025-01-12,Fuel,Operational,Diesel fuel for Nairobi-Kisumu trip,54.85,Kenya,Nairobi,Company Card,Shell Kenya,RCT-21090,Approved,Operations Manager
EXP-00725,TRP-0477,AST-119,2024-12-31,Fuel,Operational,Diesel fuel for Bahir Dar-Cyangugu trip,316.3,Ethiopia,Bahir Dar,Cash,Shell Ethiopia,RCT-77919,Approved,Operations Manager
EXP-00726,TRP-0477,AST-119,2024-12-31,Border Fees,Operational,Ethiopia-Rwanda border crossing fees,31.0,Rwanda,Border Crossing,Cash,Rwanda Revenue Authority,BRD-1894,Approved,Operations Manager
EXP-00727,TRP-0478,AST-022,2024-05-30,Fuel,Operational,Diesel fuel for Gisenyi-Butare trip,79.49,Rwanda,Gisenyi,Company Card,Puma Energy Rwanda,RCT-12528,Approved,Finance Manager
EXP-00728,TRP-0479,AST-103,2024-03-01,Fuel,Operational,Diesel fuel for Kigali-Butare trip,108.09,Rwanda,Kigali,Company Card,Puma Energy Rwanda,RCT-41612,Approved,Operations Manager
EXP-00729,TRP-0480,AST-067,2024-05-25,Fuel,Operational,Diesel fuel for Ruhengeri-Mombasa trip,306.41,Rwanda,Ruhengeri,Cash,Total Rwanda,RCT-43754,Approved,Finance Manager
EXP-00730,TRP-0480,AST-067,2024-05-25,Tolls,Operational,Highway toll charges,14.02,Rwanda,Ruhengeri,Cash,Highway Authority,TOLL-5801,Approved,Finance Manager
EXP-00731,TRP-0481,AST-075,2025-02-28,Fuel,Operational,Diesel fuel for Nakuru-Mwanza trip,179.92,Kenya,Nakuru,Cash,Shell Kenya,RCT-45809,Approved,Operations Manager
EXP-00732,TRP-0481,AST-075,2025-02-28,Border Fees,Operational,Kenya-Tanzania border crossing fees,45.7,Tanzania,Border Crossing,Cash,Tanzania Revenue Authority,BRD-4662,Approved,Operations Manager
EXP-00733,TRP-0482,AST-084,2024-01-16,Fuel,Operational,Diesel fuel for Mwanza-Mbeya trip,130.74,Tanzania,Mwanza,Company Card,Puma Energy Tanzania,RCT-34947,Approved,Operations Manager
EXP-00734,TRP-0483,AST-077,2024-02-03,Fuel,Operational,Diesel fuel for Mbeya-Dar es Salaam trip,110.71,Tanzania,Mbeya,Cash,Kobil Tanzania,RCT-10922,Approved,Finance Manager
EXP-00735,TRP-0484,AST-020,2024-05-18,Fuel,Operational,Diesel fuel for Ruhengeri-Gisenyi trip,137.34,Rwanda,Ruhengeri,Cash,Kobil Rwanda,RCT-52178,Approved,Operations Manager
EXP-00736,TRP-0485,AST-014,2024-07-15,Fuel,Operational,Diesel fuel for Bahir Dar-Bahir Dar trip,31.38,Ethiopia,Bahir Dar,Cash,Kobil Ethiopia,RCT-65652,Approved,Operations Manager
EXP-00737,TRP-0485,AST-014,2024-07-15,Tolls,Operational,Highway toll charges,13.47,Ethiopia,Bahir Dar,Cash,Highway Authority,TOLL-4180,Approved,Finance Manager
EXP-00738,TRP-0486,AST-089,2024-06-25,Fuel,Operational,Diesel fuel for Eldoret-Addis Ababa trip,181.56,Kenya,Eldoret,Company Card,Puma Energy Kenya,RCT-29488,Approved,Operations Manager
EXP-00739,TRP-0486,AST-089,2024-06-25,Border Fees,Operational,Kenya-Ethiopia border crossing fees,62.07,Ethiopia,Border Crossing,Cash,Ethiopia Revenue Authority,BRD-4160,Approved,Operations Manager
EXP-00740,TRP-0487,AST-037,2024-06-25,Fuel,Operational,Diesel fuel for Mombasa-Eldoret trip,142.54,Kenya,Mombasa,Company Card,Shell Kenya,RCT-82061,Approved,Operations Manager
EXP-00741,TRP-0488,AST-096,2024-12-15,Fuel,Operational,Diesel fuel for Ruhengeri-Kigali trip,88.75,Rwanda,Ruhengeri,Cash,Puma Energy Rwanda,RCT-51641,Approved,Operations Manager
EXP-00742,TRP-0489,AST-115,2024-04-09,Fuel,Operational,Diesel fuel for Dodoma-Mbeya trip,110.71,Tanzania,Dodoma,Company Card,Total Tanzania,RCT-64967,Approved,Operations Manager
EXP-00743,TRP-0489,AST-115,2024-04-09,Tolls,Operational,Highway toll charges,9.82,Tanzania,Dodoma,Cash,Highway Authority,TOLL-5512,Approved,Finance Manager
EXP-00744,TRP-0490,AST-087,2024-08-18,Fuel,Operational,Diesel fuel for Mbeya-Dodoma trip,191.52,Tanzania,Mbeya,Cash,Kobil Tanzania,RCT-33354,Approved,Finance Manager
EXP-00745,TRP-0491,AST-107,2024-04-24,Fuel,Operational,Diesel fuel for Mombasa-Nakuru trip,80.24,Kenya,Mombasa,Cash,Total Kenya,RCT-35781,Approved,Finance Manager
EXP-00746,TRP-0492,AST-119,2024-10-17,Fuel,Operational,Diesel fuel for Bahir Dar-Entebbe trip,115.74,Ethiopia,Bahir Dar,Company Card,Kobil Ethiopia,RCT-73109,Approved,Finance Manager
EXP-00747,TRP-0492,AST-119,2024-10-17,Border Fees,Operational,Ethiopia-Uganda border crossing fees,61.93,Uganda,Border Crossing,Cash,Uganda Revenue Authority,BRD-3559,Approved,Operations Manager
EXP-00748,TRP-0493,AST-082,2024-05-29,Fuel,Operational,Diesel fuel for Eldoret-Eldoret trip,28.28,Kenya,Eldoret,Cash,Shell Kenya,RCT-89591,Approved,Finance Manager
EXP-00749,TRP-0494,AST-046,2024-07-18,Fuel,Operational,Diesel fuel for Mombasa-Eldoret trip,161.46,Kenya,Mombasa,Company Card,Kobil Kenya,RCT-81937,Approved,Finance Manager
EXP-00750,TRP-0495,AST-100,2024-03-07,Fuel,Operational,Diesel fuel for Mwanza-Dar es Salaam trip,91.64,Tanzania,Mwanza,Company Card,Kobil Tanzania,RCT-81913,Approved,Finance Manager
EXP-00751,TRP-0496,AST-077,2024-06-18,Fuel,Operational,Diesel fuel for Dar es Salaam-Mwanza trip,104.96,Tanzania,Dar es Salaam,Company Card,Shell Tanzania,RCT-81350,Approved,Operations Manager
EXP-00752,TRP-0497,AST-067,2024-09-29,Fuel,Operational,Diesel fuel for Ruhengeri-Mwanza trip,126.83,Rwanda,Ruhengeri,Company Card,Kobil Rwanda,RCT-64328,Approved,Finance Manager
EXP-00753,TRP-0497,AST-067,2024-09-29,Border Fees,Operational,Rwanda-Tanzania border crossing fees,38.52,Tanzania,Border Crossing,Cash,Tanzania Revenue Authority,BRD-5231,Approved,Operations Manager
EXP-00754,TRP-0498,AST-014,2024-03-28,Fuel,Operational,Diesel fuel for Dire Dawa-Arusha trip,295.24,Ethiopia,Dire Dawa,Company Card,Total Ethiopia,RCT-93624,Approved,Finance Manager
EXP-00755,TRP-0498,AST-014,2024-03-28,Border Fees,Operational,Ethiopia-Tanzania border crossing fees,72.71,Tanzania,Border Crossing,Cash,Tanzania Revenue Authority,BRD-2593,Approved,Operations Manager
EXP-00756,TRP-0499,AST-102,2024-09-06,Fuel,Operational,Diesel fuel for Butare-Gisenyi trip,182.04,Rwanda,Butare,Cash,Shell Rwanda,RCT-54064,Approved,Finance Manager
EXP-00757,TRP-0500,AST-028,2024-06-06,Fuel,Operational,Diesel fuel for Nakuru-Kisumu trip,98.65,Kenya,Nakuru,Company Card,Total Kenya,RCT-59014,Approved,Operations Manager
EXP-00758,TRP-0501,AST-095,2024-03-17,Fuel,Operational,Diesel fuel for Gisenyi-Nairobi trip,344.21,Rwanda,Gisenyi,Company Card,Total Rwanda,RCT-90126,Approved,Finance Manager
EXP-00759,TRP-0501,AST-095,2024-03-17,Tolls,Operational,Highway toll charges,23.01,Rwanda,Gisenyi,Cash,Highway Authority,TOLL-4726,Approved,Finance Manager
EXP-00760,TRP-0501,AST-095,2024-03-17,Border Fees,Operational,Rwanda-Kenya border crossing fees,64.26,Kenya,Border Crossing,Cash,Kenya Revenue Authority,BRD-3442,Approved,Operations Manager
EXP-00761,TRP-0502,AST-107,2024-06-27,Fuel,Operational,Diesel fuel for Mombasa-Gondar trip,344.1,Kenya,Mombasa,Company Card,Total Kenya,RCT-43086,Approved,Operations Manager
EXP-00762,TRP-0502,AST-107,2024-06-27,Border Fees,Operational,Kenya-Ethiopia border crossing fees,43.69,Ethiopia,Border Crossing,Cash,Ethiopia Revenue Authority,BRD-1928,Approved,Operations Manager
EXP-00763,TRP-0503,AST-027,2024-10-04,Fuel,Operational,Diesel fuel for Eldoret-Kisumu trip,89.55,Kenya,Eldoret,Company Card,Shell Kenya,RCT-75102,Approved,Operations Manager
EXP-00764,TRP-0504,AST-057,2024-04-27,Fuel,Operational,Diesel fuel for Entebbe-Entebbe trip,10.51,Uganda,Entebbe,Cash,Total Uganda,RCT-92574,Approved,Operations Manager
EXP-00765,TRP-0505,AST-094,2024-05-25,Fuel,Operational,Diesel fuel for Dodoma-Mbeya trip,139.26,Tanzania,Dodoma,Cash,Kobil Tanzania,RCT-44774,Approved,Operations Manager
EXP-00766,TRP-0505,AST-094,2024-05-25,Tolls,Operational,Highway toll charges,10.71,Tanzania,Dodoma,Cash,Highway Authority,TOLL-6982,Approved,Finance Manager
EXP-00767,TRP-0506,AST-019,2024-02-05,Fuel,Operational,Diesel fuel for Mombasa-Mwanza trip,88.86,Kenya,Mombasa,Company Card,Shell Kenya,RCT-21939,Approved,Finance Manager
EXP-00768,TRP-0506,AST-019,2024-02-05,Border Fees,Operational,Kenya-Tanzania border crossing fees,34.91,Tanzania,Border Crossing,Cash,Tanzania Revenue Authority,BRD-8129,Approved,Operations Manager
EXP-00769,TRP-0507,AST-089,2024-10-10,Fuel,Operational,Diesel fuel for Eldoret-Nakuru trip,88.81,Kenya,Eldoret,Cash,Puma Energy Kenya,RCT-80522,Approved,Finance Manager
EXP-00770,TRP-0508,AST-098,2024-10-19,Fuel,Operational,Diesel fuel for Eldoret-Nakuru trip,199.76,Kenya,Eldoret,Company Card,Puma Energy Kenya,RCT-18633,Approved,Operations Manager
EXP-00771,TRP-0509,AST-024,2024-10-16,Fuel,Operational,Diesel fuel for Mwanza-Kisumu trip,203.05,Tanzania,Mwanza,Company Card,Total Tanzania,RCT-16640,Approved,Finance Manager
EXP-00772,TRP-0509,AST-024,2024-10-16,Border Fees,Operational,Tanzania-Kenya border crossing fees,76.93,Kenya,Border Crossing,Cash,Kenya Revenue Authority,BRD-4771,Approved,Operations Manager
EXP-00773,TRP-0510,AST-044,2024-03-26,Fuel,Operational,Diesel fuel for Entebbe-Arusha trip,315.59,Uganda,Entebbe,Company Card,Kobil Uganda,RCT-87764,Approved,Finance Manager
EXP-00774,TRP-0510,AST-044,2024-03-26,Border Fees,Operational,Uganda-Tanzania border crossing fees,32.13,Tanzania,Border Crossing,Cash,Tanzania Revenue Authority,BRD-1143,Approved,Operations Manager
EXP-00775,TRP-0511,AST-001,2025-01-31,Fuel,Operational,Diesel fuel for Kampala-Gulu trip,56.08,Uganda,Kampala,Cash,Puma Energy Uganda,RCT-37159,Approved,Operations Manager
EXP-00776,TRP-0512,AST-109,2024-12-28,Fuel,Operational,Diesel fuel for Eldoret-Entebbe trip,237.91,Kenya,Eldoret,Cash,Total Kenya,RCT-44639,Approved,Operations Manager
EXP-00777,TRP-0512,AST-109,2024-12-28,Tolls,Operational,Highway toll charges,6.81,Kenya,Eldoret,Cash,Highway Authority,TOLL-1681,Approved,Finance Manager
EXP-00778,TRP-0512,AST-109,2024-12-28,Border Fees,Operational,Kenya-Uganda border crossing fees,37.84,Uganda,Border Crossing,Cash,Uganda Revenue Authority,BRD-4950,Approved,Operations Manager
EXP-00779,TRP-0513,AST-026,2024-08-26,Fuel,Operational,Diesel fuel for Mbeya-Mwanza trip,61.78,Tanzania,Mbeya,Cash,Puma Energy Tanzania,RCT-63162,Approved,Operations Manager
EXP-00780,TRP-0513,AST-026,2024-08-26,Tolls,Operational,Highway toll charges,15.27,Tanzania,Mbeya,Cash,Highway Authority,TOLL-8556,Approved,Finance Manager
EXP-00781,TRP-0514,AST-107,2024-02-26,Fuel,Operational,Diesel fuel for Mombasa-Dar es Salaam trip,134.67,Kenya,Mombasa,Cash,Shell Kenya,RCT-76842,Approved,Operations Manager
EXP-00782,TRP-0514,AST-107,2024-02-26,Tolls,Operational,Highway toll charges,17.68,Kenya,Mombasa,Cash,Highway Authority,TOLL-8692,Approved,Finance Manager
EXP-00783,TRP-0514,AST-107,2024-02-26,Border Fees,Operational,Kenya-Tanzania border crossing fees,47.17,Tanzania,Border Crossing,Cash,Tanzania Revenue Authority,BRD-5021,Approved,Operations Manager
EXP-00784,TRP-0515,AST-046,2024-07-31,Fuel,Operational,Diesel fuel for Eldoret-Eldoret trip,16.35,Kenya,Eldoret,Company Card,Shell Kenya,RCT-89099,Approved,Finance Manager
EXP-00785,TRP-0515,AST-046,2024-07-31,Tolls,Operational,Highway toll charges,18.49,Kenya,Eldoret,Cash,Highway Authority,TOLL-3532,Approved,Finance Manager
EXP-00786,TRP-0516,AST-031,2024-02-28,Fuel,Operational,Diesel fuel for Kigali-Ruhengeri trip,48.63,Rwanda,Kigali,Company Card,Total Rwanda,RCT-86724,Approved,Operations Manager
EXP-00787,TRP-0517,AST-072,2025-01-08,Fuel,Operational,Diesel fuel for Eldoret-Nakuru trip,121.32,Kenya,Eldoret,Cash,Kobil Kenya,RCT-27707,Approved,Operations Manager
EXP-00788,TRP-0518,AST-024,2024-06-21,Fuel,Operational,Diesel fuel for Arusha-Mbarara trip,259.07,Tanzania,Arusha,Cash,Shell Tanzania,RCT-56432,Approved,Finance Manager
EXP-00789,TRP-0518,AST-024,2024-06-21,Tolls,Operational,Highway toll charges,9.27,Tanzania,Arusha,Cash,Highway Authority,TOLL-6021,Approved,Finance Manager
EXP-00790,TRP-0518,AST-024,2024-06-21,Border Fees,Operational,Tanzania-Uganda border crossing fees,73.74,Uganda,Border Crossing,Cash,Uganda Revenue Authority,BRD-3086,Approved,Operations Manager
EXP-00791,TRP-0519,AST-060,2024-10-25,Fuel,Operational,Diesel fuel for Kigali-Ruhengeri trip,117.91,Rwanda,Kigali,Cash,Shell Rwanda,RCT-60404,Approved,Finance Manager
EXP-00792,TRP-0519,AST-060,2024-10-25,Tolls,Operational,Highway toll charges,12.38,Rwanda,Kigali,Cash,Highway Authority,TOLL-5679,Approved,Finance Manager
EXP-00793,TRP-0520,AST-051,2025-01-15,Fuel,Operational,Diesel fuel for Nakuru-Addis Ababa trip,243.12,Kenya,Nakuru,Cash,Total Kenya,RCT-47141,Approved,Operations Manager
EXP-00794,TRP-0520,AST-051,2025-01-15,Border Fees,Operational,Kenya-Ethiopia border crossing fees,58.73,Ethiopia,Border Crossing,Cash,Ethiopia Revenue Authority,BRD-9528,Approved,Operations Manager
EXP-00795,TRP-0521,AST-037,2024-04-26,Fuel,Operational,Diesel fuel for Kisumu-Nairobi trip,93.43,Kenya,Kisumu,Company Card,Puma Energy Kenya,RCT-25046,Approved,Finance Manager
EXP-00796,TRP-0522,AST-079,2024-08-19,Fuel,Operational,Diesel fuel for Arusha-Arusha trip,21.99,Tanzania,Arusha,Company Card,Shell Tanzania,RCT-18951,Approved,Operations Manager
EXP-00797,TRP-0523,AST-018,2024-03-01,Fuel,Operational,Diesel fuel for Mombasa-Nakuru trip,62.22,Kenya,Mombasa,Company Card,Total Kenya,RCT-62267,Approved,Operations Manager
EXP-00798,TRP-0523,AST-018,2024-03-01,Tolls,Operational,Highway toll charges,15.48,Kenya,Mombasa,Cash,Highway Authority,TOLL-9434,Approved,Finance Manager
EXP-00799,TRP-0524,AST-053,2024-01-16,Fuel,Operational,Diesel fuel for Addis Ababa-Dire Dawa trip,50.63,Ethiopia,Addis Ababa,Cash,Shell Ethiopia,RCT-37922,Approved,Finance Manager
EXP-00800,TRP-0525,AST-041,2024-04-12,Fuel,Operational,Diesel fuel for Mombasa-Eldoret trip,127.44,Kenya,Mombasa,Cash,Total Kenya,RCT-38503,Approved,Finance Manager
EXP-00801,TRP-0525,AST-041,2024-04-12,Tolls,Operational,Highway toll charges,17.82,Kenya,Mombasa,Cash,Highway Authority,TOLL-2541,Approved,Finance Manager
EXP-00802,TRP-0526,AST-068,2025-02-15,Fuel,Operational,Diesel fuel for Entebbe-Mekele trip,100.87,Uganda,Entebbe,Cash,Total Uganda,RCT-98059,Approved,Finance Manager
EXP-00803,TRP-0526,AST-068,2025-02-15,Border Fees,Operational,Uganda-Ethiopia border crossing fees,60.15,Ethiopia,Border Crossing,Cash,Ethiopia Revenue Authority,BRD-9984,Approved,Operations Manager
EXP-00804,TRP-0527,AST-114,2024-06-08,Fuel,Operational,Diesel fuel for Kampala-Nairobi trip,116.51,Uganda,Kampala,Cash,Kobil Uganda,RCT-99992,Approved,Finance Manager
EXP-00805,TRP-0527,AST-114,2024-06-08,Border Fees,Operational,Uganda-Kenya border crossing fees,56.86,Kenya,Border Crossing,Cash,Kenya Revenue Authority,BRD-1857,Approved,Operations Manager
EXP-00806,TRP-0528,AST-007,2024-11-19,Fuel,Operational,Diesel fuel for Arusha-Dar es Salaam trip,121.07,Tanzania,Arusha,Company Card,Total Tanzania,RCT-64736,Approved,Finance Manager
EXP-00807,TRP-0528,AST-007,2024-11-19,Tolls,Operational,Highway toll charges,18.24,Tanzania,Arusha,Cash,Highway Authority,TOLL-3008,Approved,Finance Manager
EXP-00808,TRP-0529,AST-080,2024-08-12,Fuel,Operational,Diesel fuel for Ruhengeri-Gisenyi trip,163.64,Rwanda,Ruhengeri,Company Card,Shell Rwanda,RCT-22611,Approved,Finance Manager
EXP-00809,TRP-0530,AST-004,2024-09-20,Fuel,Operational,Diesel fuel for Mbeya-Dar es Salaam trip,129.52,Tanzania,Mbeya,Company Card,Kobil Tanzania,RCT-62708,Approved,Finance Manager
EXP-00810,TRP-0531,AST-059,2024-03-22,Fuel,Operational,Diesel fuel for Jinja-Mbarara trip,161.17,Uganda,Jinja,Cash,Puma Energy Uganda,RCT-93852,Approved,Finance Manager
EXP-00811,TRP-0532,AST-027,2024-05-28,Fuel,Operational,Diesel fuel for Nairobi-Mekele trip,371.82,Kenya,Nairobi,Cash,Puma Energy Kenya,RCT-79019,Approved,Operations Manager
EXP-00812,TRP-0532,AST-027,2024-05-28,Tolls,Operational,Highway toll charges,22.17,Kenya,Nairobi,Cash,Highway Authority,TOLL-5391,Approved,Finance Manager
EXP-00813,TRP-0532,AST-027,2024-05-28,Border Fees,Operational,Kenya-Ethiopia border crossing fees,54.88,Ethiopia,Border Crossing,Cash,Ethiopia Revenue Authority,BRD-7131,Approved,Operations Manager
EXP-00814,TRP-0533,AST-084,2024-10-03,Fuel,Operational,Diesel fuel for Arusha-Dar es Salaam trip,156.89,Tanzania,Arusha,Cash,Total Tanzania,RCT-48267,Approved,Operations Manager
EXP-00815,TRP-0534,AST-011,2024-10-13,Fuel,Operational,Diesel fuel for Nakuru-Nakuru trip,19.92,Kenya,Nakuru,Company Card,Puma Energy Kenya,RCT-17056,Approved,Finance Manager
EXP-00816,TRP-0535,AST-026,2025-02-17,Fuel,Operational,Diesel fuel for Arusha-Kigali trip,300.15,Tanzania,Arusha,Company Card,Total Tanzania,RCT-42698,Approved,Operations Manager
EXP-00817,TRP-0535,AST-026,2025-02-17,Tolls,Operational,Highway toll charges,17.72,Tanzania,Arusha,Cash,Highway Authority,TOLL-8633,Approved,Finance Manager
EXP-00818,TRP-0536,AST-075,2024-08-15,Fuel,Operational,Diesel fuel for Kisumu-Mombasa trip,203.33,Kenya,Kisumu,Company Card,Kobil Kenya,RCT-24425,Approved,Operations Manager
EXP-00819,TRP-0537,AST-019,2024-04-26,Fuel,Operational,Diesel fuel for Nakuru-Kisumu trip,154.24,Kenya,Nakuru,Cash,Kobil Kenya,RCT-65202,Approved,Finance Manager
EXP-00820,TRP-0538,AST-018,2025-01-06,Fuel,Operational,Diesel fuel for Eldoret-Mombasa trip,141.77,Kenya,Eldoret,Cash,Shell Kenya,RCT-52908,Approved,Finance Manager
EXP-00821,TRP-0539,AST-088,2024-03-25,Fuel,Operational,Diesel fuel for Mekele-Butare trip,106.87,Ethiopia,Mekele,Company Card,Shell Ethiopia,RCT-23258,Approved,Operations Manager
EXP-00822,TRP-0539,AST-088,2024-03-25,Border Fees,Operational,Ethiopia-Rwanda border crossing fees,67.49,Rwanda,Border Crossing,Cash,Rwanda Revenue Authority,BRD-3298,Approved,Operations Manager
EXP-00823,TRP-0540,AST-080,2025-01-17,Fuel,Operational,Diesel fuel for Butare-Eldoret trip,153.43,Rwanda,Butare,Cash,Kobil Rwanda,RCT-94888,Approved,Finance Manager
EXP-00824,TRP-0540,AST-080,2025-01-17,Border Fees,Operational,Rwanda-Kenya border crossing fees,62.77,Kenya,Border Crossing,Cash,Kenya Revenue Authority,BRD-1515,Approved,Operations Manager
EXP-00825,TRP-0541,AST-097,2024-07-20,Fuel,Operational,Diesel fuel for Kisumu-Eldoret trip,158.56,Kenya,Kisumu,Cash,Shell Kenya,RCT-85118,Approved,Finance Manager
EXP-00826,TRP-0542,AST-029,2024-01-26,Fuel,Operational,Diesel fuel for Mombasa-Kampala trip,112.83,Kenya,Mombasa,Cash,Shell Kenya,RCT-90845,Approved,Operations Manager
EXP-00827,TRP-0543,AST-040,2025-02-17,Fuel,Operational,Diesel fuel for Kisumu-Mombasa trip,186.05,Kenya,Kisumu,Cash,Total Kenya,RCT-62072,Approved,Finance Manager
EXP-00828,TRP-0543,AST-040,2025-02-17,Tolls,Operational,Highway toll charges,9.8,Kenya,Kisumu,Cash,Highway Authority,TOLL-8106,Approved,Finance Manager
EXP-00829,TRP-0544,AST-053,2024-01-25,Fuel,Operational,Diesel fuel for Gondar-Mekele trip,108.98,Ethiopia,Gondar,Cash,Total Ethiopia,RCT-45772,Approved,Operations Manager
EXP-00830,TRP-0545,AST-085,2024-10-02,Fuel,Operational,Diesel fuel for Arusha-Entebbe trip,236.13,Tanzania,Arusha,Cash,Kobil Tanzania,RCT-94693,Approved,Finance Manager
EXP-00831,TRP-0545,AST-085,2024-10-02,Border Fees,Operational,Tanzania-Uganda border crossing fees,49.29,Uganda,Border Crossing,Cash,Uganda Revenue Authority,BRD-7680,Approved,Operations Manager
EXP-00832,TRP-0546,AST-018,2024-11-05,Fuel,Operational,Diesel fuel for Nairobi-Nakuru trip,84.29,Kenya,Nairobi,Company Card,Total Kenya,RCT-21875,Approved,Finance Manager
EXP-00833,TRP-0547,AST-011,2024-02-23,Fuel,Operational,Diesel fuel for Nairobi-Eldoret trip,71.8,Kenya,Nairobi,Company Card,Total Kenya,RCT-49274,Approved,Finance Manager
EXP-00834,TRP-0547,AST-011,2024-02-23,Tolls,Operational,Highway toll charges,22.09,Kenya,Nairobi,Cash,Highway Authority,TOLL-2369,Approved,Finance Manager
EXP-00835,TRP-0548,AST-101,2025-02-06,Fuel,Operational,Diesel fuel for Mekele-Gondar trip,84.18,Ethiopia,Mekele,Company Card,Total Ethiopia,RCT-94134,Approved,Operations Manager
EXP-00836,TRP-0549,AST-071,2025-01-08,Fuel,Operational,Diesel fuel for Cyangugu-Cyangugu trip,24.07,Rwanda,Cyangugu,Cash,Shell Rwanda,RCT-38804,Approved,Operations Manager
EXP-00837,TRP-0550,AST-057,2024-01-25,Fuel,Operational,Diesel fuel for Gulu-Jinja trip,75.24,Uganda,Gulu,Cash,Puma Energy Uganda,RCT-11603,Approved,Finance Manager
EXP-00838,TRP-0551,AST-026,2025-01-10,Fuel,Operational,Diesel fuel for Dodoma-Jinja trip,261.44,Tanzania,Dodoma,Company Card,Shell Tanzania,RCT-60284,Approved,Operations Manager
EXP-00839,TRP-0551,AST-026,2025-01-10,Border Fees,Operational,Tanzania-Uganda border crossing fees,51.26,Uganda,Border Crossing,Cash,Uganda Revenue Authority,BRD-8837,Approved,Operations Manager
EXP-00840,TRP-0552,AST-098,2024-05-06,Fuel,Operational,Diesel fuel for Mombasa-Eldoret trip,69.48,Kenya,Mombasa,Cash,Kobil Kenya,RCT-68882,Approved,Operations Manager
EXP-00841,TRP-0553,AST-026,2024-07-21,Fuel,Operational,Diesel fuel for Arusha-Dar es Salaam trip,140.51,Tanzania,Arusha,Company Card,Puma Energy Tanzania,RCT-77940,Approved,Finance Manager
EXP-00842,TRP-0554,AST-072,2024-08-18,Fuel,Operational,Diesel fuel for Kisumu-Eldoret trip,118.48,Kenya,Kisumu,Company Card,Shell Kenya,RCT-92051,Approved,Operations Manager
EXP-00843,TRP-0555,AST-037,2024-12-19,Fuel,Operational,Diesel fuel for Kisumu-Mombasa trip,110.1,Kenya,Kisumu,Company Card,Shell Kenya,RCT-71021,Approved,Finance Manager
EXP-00844,TRP-0556,AST-058,2024-03-08,Fuel,Operational,Diesel fuel for Butare-Butare trip,16.61,Rwanda,Butare,Cash,Kobil Rwanda,RCT-29183,Approved,Operations Manager
EXP-00845,TRP-0556,AST-058,2024-03-08,Tolls,Operational,Highway toll charges,13.23,Rwanda,Butare,Cash,Highway Authority,TOLL-4097,Approved,Finance Manager
EXP-00846,TRP-0557,AST-004,2024-12-30,Fuel,Operational,Diesel fuel for Mwanza-Dar es Salaam trip,45.72,Tanzania,Mwanza,Cash,Kobil Tanzania,RCT-64220,Approved,Operations Manager
EXP-00847,TRP-0557,AST-004,2024-12-30,Tolls,Operational,Highway toll charges,21.98,Tanzania,Mwanza,Cash,Highway Authority,TOLL-9234,Approved,Finance Manager
EXP-00848,TRP-0558,AST-119,2024-12-09,Fuel,Operational,Diesel fuel for Gondar-Nairobi trip,255.1,Ethiopia,Gondar,Cash,Total Ethiopia,RCT-51396,Approved,Finance Manager
EXP-00849,TRP-0558,AST-119,2024-12-09,Border Fees,Operational,Ethiopia-Kenya border crossing fees,56.32,Kenya,Border Crossing,Cash,Kenya Revenue Authority,BRD-4923,Approved,Operations Manager
EXP-00850,TRP-0559,AST-048,2024-01-25,Fuel,Operational,Diesel fuel for Eldoret-Mombasa trip,44.24,Kenya,Eldoret,Cash,Shell Kenya,RCT-10087,Approved,Finance Manager
EXP-00851,TRP-0560,AST-017,2024-02-08,Fuel,Operational,Diesel fuel for Nairobi-Nakuru trip,138.9,Kenya,Nairobi,Cash,Total Kenya,RCT-97296,Approved,Finance Manager
EXP-00852,TRP-0561,AST-011,2024-08-16,Fuel,Operational,Diesel fuel for Nakuru-Eldoret trip,170.37,Kenya,Nakuru,Company Card,Puma Energy Kenya,RCT-61004,Approved,Finance Manager
