maintenance_id,asset_id,maintenance_date,maintenance_type,service_provider,location,odometer_reading,description,parts_replaced,labor_hours,parts_cost_usd,labor_cost_usd,total_cost_usd,next_service_km,performed_by,downtime_hours
MNT-0132,AST-021,2024-03-14,Routine Service,Auto Services Rwanda,Kigali,89326,"Routine Service - Oil, Spark plugs",Oil|Spark plugs|Fuel filter,4,130.24,161.05,291.28,99850,Mohammed Ali,7
MNT-0133,AST-022,2024-03-17,Repair,Auto Services Rwanda,Kigali,193659,Repair - Suspension parts,Suspension parts,5,480.61,225.38,705.98,203744,Fatuma Mugisha,6
MNT-0134,AST-022,2025-01-08,Repair,Auto Services Rwanda,Kigali,188803,Repair - Battery,Battery,8,276.84,293.0,569.84,202205,Tigist Mwangi,10
MNT-0135,AST-022,2024-11-29,Routine Service,Auto Services Rwanda,Kigali,195057,"Routine Service - Spark plugs, Oil",Spark plugs|Oil|Air filter|Engine oil filter,4,109.24,171.91,281.15,209636,Samuel Khamis,6
MNT-0136,AST-022,2024-06-12,Routine Service,Auto Services Rwanda,Kigali,216753,"Routine Service - Engine oil filter, Oil",Engine oil filter|Oil|Air filter|Spark plugs,3,94.47,137.43,231.9,227017,Paul Otieno,4
MNT-0137,AST-022,2024-12-31,Routine Service,Auto Services Rwanda,Kigali,207099,"Routine Service - Fuel filter, Air filter",Fuel filter|Air filter|Oil,2,145.99,62.67,208.66,217649,Fatuma Nalongo,5
MNT-0138,AST-023,2024-05-01,Routine Service,Auto Services Ethiopia,Gondar,159938,"Routine Service - Oil, Fuel filter",Oil|Fuel filter|Spark plugs,4,151.63,130.13,281.75,172585,Ruth Uwase,8
MNT-0139,AST-023,2025-02-23,Routine Service,Auto Services Ethiopia,Gondar,185952,"Routine Service - Oil, Air filter",Oil|Air filter,5,111.77,172.27,284.04,198359,Zainab Kayitesi,7
MNT-0140,AST-023,2024-01-21,Repair,Auto Services Ethiopia,Gondar,203003,"Repair - Battery, Radiator",Battery|Radiator,5,306.24,211.52,517.76,217106,Paul Kamau,6
MNT-0141,AST-023,2024-03-30,Routine Service,Auto Services Ethiopia,Gondar,167306,"Routine Service - Spark plugs, Air filter",Spark plugs|Air filter|Fuel filter,2,135.03,87.56,222.59,179577,Ahmed Chebet,6
MNT-0142,AST-023,2024-12-07,Routine Service,Auto Services Ethiopia,Gondar,186296,"Routine Service - Oil, Engine oil filter",Oil|Engine oil filter|Spark plugs,3,197.33,95.11,292.44,200370,Paul Alemu,5
MNT-0143,AST-023,2024-06-22,Emergency Repair,Auto Services Ethiopia,Gondar,198651,Emergency Repair - Starter motor,Starter motor,7,286.53,330.76,617.3,210191,Mohammed Haile,10
MNT-0144,AST-023,2024-07-06,Repair,Auto Services Ethiopia,Gondar,199571,"Repair - Radiator, Alternator",Radiator|Alternator,10,582.51,390.84,973.35,213543,Peter Niyonzima,12
MNT-0145,AST-023,2024-03-01,Routine Service,Auto Services Ethiopia,Gondar,188907,"Routine Service - Oil, Spark plugs",Oil|Spark plugs|Engine oil filter|Fuel filter,3,129.23,138.63,267.85,200794,Jean Rashid,5
MNT-0146,AST-024,2024-05-08,Repair,Auto Services Tanzania,Dodoma,60332,"Repair - Alternator, Suspension parts",Alternator|Suspension parts|Battery,6,454.63,188.75,643.38,74688,Getachew Ssemakula,9
MNT-0147,AST-024,2025-01-31,Routine Service,Auto Services Tanzania,Dodoma,55984,"Routine Service - Engine oil filter, Fuel filter",Engine oil filter|Fuel filter|Oil|Spark plugs,4,91.97,140.57,232.54,67452,Emmanuel Niyonzima,5
MNT-0148,AST-024,2024-05-05,Routine Service,Auto Services Tanzania,Dodoma,85496,"Routine Service - Air filter, Oil",Air filter|Oil,2,174.98,88.48,263.46,98404,Sara Salim,4
MNT-0149,AST-025,2024-10-12,Routine Service,Auto Services Uganda,Jinja,156823,"Routine Service - Engine oil filter, Oil",Engine oil filter|Oil|Air filter,5,104.62,229.83,334.46,168933,Hanna Nsengimana,7
MNT-0150,AST-025,2024-05-18,Routine Service,Auto Services Uganda,Jinja,141881,"Routine Service - Fuel filter, Air filter",Fuel filter|Air filter,3,173.74,148.94,322.69,155914,Samuel Mwangi,4
MNT-0151,AST-025,2024-05-09,Repair,Auto Services Uganda,Jinja,178407,"Repair - Battery, Brake pads",Battery|Brake pads|Alternator,6,392.99,291.03,684.01,190514,Daniel Desta,8
MNT-0152,AST-026,2024-06-28,Repair,Auto Services Tanzania,Mbeya,197639,"Repair - Alternator, Battery",Alternator|Battery|Radiator,5,385.41,156.09,541.5,210363,Patrick Mwinyi,7
MNT-0153,AST-026,2024-04-07,Routine Service,Auto Services Tanzania,Mbeya,221853,"Routine Service - Fuel filter, Engine oil filter",Fuel filter|Engine oil filter|Spark plugs,4,90.02,181.8,271.82,232960,Moses Wanjiru,5
MNT-0154,AST-026,2024-03-02,Routine Service,Auto Services Tanzania,Mbeya,211935,"Routine Service - Spark plugs, Air filter",Spark plugs|Air filter|Engine oil filter|Oil,5,82.34,175.63,257.98,224369,Halima Ochieng,6
MNT-0155,AST-027,2024-05-10,Repair,Auto Services Kenya,Kisumu,146222,"Repair - Battery, Suspension parts",Battery|Suspension parts,9,478.73,306.79,785.52,159400,Almaz Haile,11
MNT-0156,AST-027,2024-01-16,Routine Service,Auto Services Kenya,Kisumu,159775,"Routine Service - Engine oil filter, Spark plugs",Engine oil filter|Spark plugs,4,199.86,124.9,324.76,171953,Agnes Hassan,7
MNT-0157,AST-027,2025-02-09,Repair,Auto Services Kenya,Kisumu,144686,"Repair - Alternator, Radiator",Alternator|Radiator|Suspension parts,4,349.75,189.7,539.45,158314,Yusuf Akinyi,6
MNT-0158,AST-027,2024-01-31,Routine Service,Auto Services Kenya,Kisumu,133079,"Routine Service - Engine oil filter, Air filter",Engine oil filter|Air filter|Fuel filter|Spark plugs,3,136.24,93.96,230.2,147076,Meseret Wasswa,6
MNT-0159,AST-027,2024-11-07,Repair,Auto Services Kenya,Kisumu,153784,"Repair - Brake pads, Battery",Brake pads|Battery,7,274.41,215.36,489.77,165080,Halima Kamau,11
MNT-0160,AST-028,2025-02-09,Emergency Repair,Auto Services Kenya,Nairobi,129210,"Emergency Repair - Fan belt, Radiator hose",Fan belt|Radiator hose,5,270.82,163.55,434.37,141473,Samuel Kamau,7
MNT-0161,AST-028,2024-03-29,Repair,Auto Services Kenya,Nairobi,95198,Repair - Battery,Battery,8,407.3,353.83,761.13,109547,Ahmed Hamisi,10
MNT-0162,AST-028,2024-06-23,Routine Service,Auto Services Kenya,Nairobi,118735,"Routine Service - Spark plugs, Oil",Spark plugs|Oil,5,90.48,222.16,312.64,129537,Tigist Tadesse,9
MNT-0163,AST-028,2024-03-31,Routine Service,Auto Services Kenya,Nairobi,119644,"Routine Service - Spark plugs, Air filter",Spark plugs|Air filter,4,113.83,163.78,277.61,131156,Catherine Kimani,8
MNT-0164,AST-029,2024-10-06,Routine Service,Auto Services Kenya,Mombasa,66062,"Routine Service - Fuel filter, Engine oil filter",Fuel filter|Engine oil filter|Spark plugs|Air filter,2,102.36,78.63,181.0,76546,Almaz Abebe,6
MNT-0165,AST-029,2024-04-25,Routine Service,Auto Services Kenya,Mombasa,93284,"Routine Service - Oil, Spark plugs",Oil|Spark plugs|Engine oil filter,5,114.51,187.41,301.92,105955,Agnes Wanjiru,7
MNT-0166,AST-029,2024-11-16,Routine Service,Auto Services Kenya,Mombasa,93812,"Routine Service - Air filter, Engine oil filter",Air filter|Engine oil filter,3,114.19,91.19,205.38,103819,Faith Kimani,6
MNT-0167,AST-029,2024-11-17,Repair,Auto Services Kenya,Mombasa,90496,"Repair - Suspension parts, Radiator",Suspension parts|Radiator|Battery,5,554.93,175.72,730.64,105016,Solomon Habimana,9
MNT-0168,AST-029,2024-09-19,Repair,Auto Services Kenya,Mombasa,109168,"Repair - Alternator, Brake pads",Alternator|Brake pads,6,375.76,249.74,625.5,123956,Fatuma Mukamana,8
MNT-0169,AST-030,2024-11-07,Routine Service,Auto Services Tanzania,Dar es Salaam,-16242,"Routine Service - Spark plugs, Fuel filter",Spark plugs|Fuel filter,2,106.12,72.6,178.72,-2301,Getachew Hassan,6
MNT-0170,AST-030,2024-09-07,Routine Service,Auto Services Tanzania,Dar es Salaam,-10109,"Routine Service - Engine oil filter, Spark plugs",Engine oil filter|Spark plugs|Oil|Fuel filter,2,176.24,94.02,270.26,3044,Getachew Bakari,4
MNT-0171,AST-030,2025-01-04,Emergency Repair,Auto Services Tanzania,Dar es Salaam,-14031,Emergency Repair - Radiator hose,Radiator hose,5,302.0,151.47,453.48,705,Yusuf Kamau,6
MNT-0172,AST-030,2024-10-24,Repair,Auto Services Tanzania,Dar es Salaam,-407,"Repair - Alternator, Brake pads",Alternator|Brake pads|Radiator,6,441.88,199.54,641.42,11824,Rose Chebet,8
MNT-0173,AST-031,2024-10-20,Routine Service,Auto Services Rwanda,Gisenyi,126803,"Routine Service - Oil, Air filter",Oil|Air filter|Spark plugs|Fuel filter,4,184.29,177.48,361.77,141105,David Hamisi,8
MNT-0174,AST-031,2024-10-06,Repair,Auto Services Rwanda,Gisenyi,114511,Repair - Alternator,Alternator,10,369.57,359.53,729.09,127916,Mohammed Njoroge,12
MNT-0175,AST-031,2024-11-04,Repair,Auto Services Rwanda,Gisenyi,127115,"Repair - Alternator, Suspension parts",Alternator|Suspension parts|Battery,9,310.33,310.27,620.61,138017,Peter Habimana,13
MNT-0176,AST-031,2024-09-02,Routine Service,Auto Services Rwanda,Gisenyi,124647,"Routine Service - Engine oil filter, Spark plugs",Engine oil filter|Spark plugs,3,107.07,131.16,238.23,137777,Patrick Nsengimana,7
MNT-0177,AST-031,2024-10-22,Routine Service,Auto Services Rwanda,Gisenyi,111649,"Routine Service - Fuel filter, Engine oil filter",Fuel filter|Engine oil filter|Oil|Air filter,3,134.46,137.4,271.86,124924,Marie Abebe,7
MNT-0178,AST-031,2024-09-23,Repair,Auto Services Rwanda,Gisenyi,110439,Repair - Battery,Battery,4,585.31,147.04,732.34,120995,Christine Girma,5
MNT-0179,AST-031,2024-04-25,Routine Service,Auto Services Rwanda,Gisenyi,118955,"Routine Service - Fuel filter, Air filter",Fuel filter|Air filter|Spark plugs,2,190.56,61.63,252.19,132344,Ahmed Abebe,5
MNT-0180,AST-031,2025-02-14,Repair,Auto Services Rwanda,Gisenyi,119116,"Repair - Brake pads, Suspension parts",Brake pads|Suspension parts|Battery,7,543.48,243.12,786.6,129915,Grace Bizimana,9
MNT-0181,AST-032,2024-02-22,Routine Service,Auto Services Tanzania,Dodoma,4177,"Routine Service - Spark plugs, Engine oil filter",Spark plugs|Engine oil filter,5,138.66,194.3,332.96,18280,Meseret Ochieng,9
MNT-0182,AST-032,2024-04-13,Routine Service,Auto Services Tanzania,Dodoma,2643,"Routine Service - Fuel filter, Engine oil filter",Fuel filter|Engine oil filter|Spark plugs,3,141.8,144.21,286.01,15149,Solomon Ochieng,4
MNT-0183,AST-032,2024-07-28,Routine Service,Auto Services Tanzania,Dodoma,12624,"Routine Service - Spark plugs, Engine oil filter",Spark plugs|Engine oil filter|Air filter,4,163.14,149.02,312.16,26003,Claude Njoroge,7
MNT-0184,AST-032,2025-02-04,Routine Service,Auto Services Tanzania,Dodoma,23354,"Routine Service - Fuel filter, Spark plugs",Fuel filter|Spark plugs|Engine oil filter,4,141.47,153.64,295.1,34938,Solomon Otieno,8
MNT-0185,AST-033,2025-01-08,Routine Service,Auto Services Uganda,Jinja,33229,"Routine Service - Engine oil filter, Spark plugs",Engine oil filter|Spark plugs|Fuel filter,3,190.92,138.92,329.83,43622,Rebecca Khamis,5
MNT-0186,AST-033,2024-10-16,Routine Service,Auto Services Uganda,Jinja,45006,"Routine Service - Fuel filter, Oil",Fuel filter|Oil|Engine oil filter|Air filter,2,83.53,68.61,152.14,57225,Agnes Girma,4
MNT-0187,AST-033,2024-09-30,Routine Service,Auto Services Uganda,Jinja,52806,"Routine Service - Engine oil filter, Air filter",Engine oil filter|Air filter,3,196.9,121.01,317.91,64475,Halima Kato,5
MNT-0188,AST-033,2024-03-03,Routine Service,Auto Services Uganda,Jinja,39568,"Routine Service - Engine oil filter, Fuel filter",Engine oil filter|Fuel filter,2,190.71,89.53,280.23,53199,Meseret Musoke,6
MNT-0189,AST-033,2025-02-27,Routine Service,Auto Services Uganda,Jinja,67666,"Routine Service - Engine oil filter, Air filter",Engine oil filter|Air filter|Fuel filter|Spark plugs,2,179.32,81.29,260.61,82420,Ruth Njoroge,6
MNT-0190,AST-034,2024-02-16,Repair,Auto Services Ethiopia,Addis Ababa,42923,"Repair - Radiator, Battery",Radiator|Battery,4,548.28,122.68,670.96,53042,John Hassan,5
MNT-0191,AST-034,2024-07-18,Routine Service,Auto Services Ethiopia,Addis Ababa,35535,"Routine Service - Fuel filter, Engine oil filter",Fuel filter|Engine oil filter|Spark plugs,5,132.07,219.55,351.62,50303,Marie Babirye,6
MNT-0192,AST-034,2024-02-06,Routine Service,Auto Services Ethiopia,Addis Ababa,5201,"Routine Service - Engine oil filter, Fuel filter",Engine oil filter|Fuel filter|Spark plugs|Oil,5,176.61,227.43,404.03,20156,David Kebede,7
MNT-0193,AST-034,2024-07-17,Routine Service,Auto Services Ethiopia,Addis Ababa,42634,"Routine Service - Oil, Engine oil filter",Oil|Engine oil filter|Fuel filter,4,150.2,184.2,334.4,54815,Mulugeta Khamis,7
MNT-0194,AST-035,2024-01-16,Repair,Auto Services Uganda,Entebbe,184623,Repair - Brake pads,Brake pads,6,400.94,211.48,612.43,195482,Mohammed Ochieng,7
MNT-0195,AST-035,2024-09-16,Routine Service,Auto Services Uganda,Entebbe,216633,"Routine Service - Oil, Engine oil filter",Oil|Engine oil filter,3,135.88,107.83,243.71,229665,Agnes Otieno,4
MNT-0196,AST-035,2024-12-08,Routine Service,Auto Services Uganda,Entebbe,199318,"Routine Service - Oil, Spark plugs",Oil|Spark plugs|Fuel filter,2,110.11,61.89,172.01,211408,Jean Mukamazimpaka,4
MNT-0197,AST-035,2025-02-27,Routine Service,Auto Services Uganda,Entebbe,196444,"Routine Service - Fuel filter, Air filter",Fuel filter|Air filter|Spark plugs,5,185.42,164.82,350.24,208759,Eric Desta,9
MNT-0198,AST-035,2025-01-31,Repair,Auto Services Uganda,Entebbe,190451,"Repair - Radiator, Battery",Radiator|Battery,4,587.57,168.47,756.04,203209,Hassan Akinyi,5
MNT-0199,AST-035,2024-02-13,Routine Service,Auto Services Uganda,Entebbe,178674,"Routine Service - Air filter, Engine oil filter",Air filter|Engine oil filter,5,161.95,203.4,365.35,191934,Yohannes Hamisi,7
MNT-0200,AST-035,2024-03-05,Repair,Auto Services Uganda,Entebbe,187812,"Repair - Alternator, Brake pads",Alternator|Brake pads,6,289.59,266.31,555.9,199385,Hassan Kebede,10
MNT-0201,AST-036,2024-09-11,Repair,Auto Services Kenya,Kisumu,142630,Repair - Suspension parts,Suspension parts,5,469.04,245.27,714.31,157015,Mary Tadesse,7
MNT-0202,AST-036,2024-04-24,Repair,Auto Services Kenya,Kisumu,158768,Repair - Battery,Battery,8,284.93,362.23,647.16,170086,Samuel Bekele,11
MNT-0203,AST-036,2024-02-03,Routine Service,Auto Services Kenya,Kisumu,139204,"Routine Service - Spark plugs, Fuel filter",Spark plugs|Fuel filter,4,193.71,193.88,387.59,153247,Yohannes Ssemakula,8
MNT-0204,AST-036,2024-06-02,Routine Service,Auto Services Kenya,Kisumu,136080,"Routine Service - Fuel filter, Engine oil filter",Fuel filter|Engine oil filter,2,190.13,60.15,250.28,150916,Samuel Niyonzima,3
MNT-0205,AST-036,2025-01-27,Routine Service,Auto Services Kenya,Kisumu,172919,"Routine Service - Engine oil filter, Oil",Engine oil filter|Oil|Fuel filter|Spark plugs,3,164.63,118.77,283.4,184628,Yusuf Nsengimana,4
MNT-0206,AST-036,2024-05-18,Emergency Repair,Auto Services Kenya,Kisumu,143840,Emergency Repair - Radiator hose,Radiator hose,9,502.91,390.71,893.62,156868,Marie Kimani,12
MNT-0207,AST-037,2024-11-19,Routine Service,Auto Services Kenya,Mombasa,143923,"Routine Service - Engine oil filter, Fuel filter",Engine oil filter|Fuel filter|Oil|Spark plugs,2,85.97,83.98,169.95,156768,Ahmed Kato,3
MNT-0208,AST-037,2024-07-12,Routine Service,Auto Services Kenya,Mombasa,115721,"Routine Service - Spark plugs, Oil",Spark plugs|Oil|Engine oil filter,4,117.88,185.12,302.99,126440,Mary Wasswa,8
MNT-0209,AST-037,2025-02-02,Repair,Auto Services Kenya,Mombasa,136461,"Repair - Suspension parts, Brake pads",Suspension parts|Brake pads,6,202.87,237.04,439.91,149236,Innocent Bizimana,9
MNT-0210,AST-037,2024-09-12,Repair,Auto Services Kenya,Mombasa,148790,"Repair - Radiator, Alternator",Radiator|Alternator|Battery,5,388.66,198.8,587.46,159908,Rebecca Nakato,8
MNT-0211,AST-038,2024-01-21,Repair,Auto Services Kenya,Eldoret,17280,"Repair - Battery, Suspension parts",Battery|Suspension parts|Brake pads,6,471.55,250.67,722.22,32018,Hassan Mukasa,7
MNT-0212,AST-038,2024-03-04,Routine Service,Auto Services Kenya,Eldoret,3236,"Routine Service - Air filter, Fuel filter",Air filter|Fuel filter|Engine oil filter|Oil,4,133.99,184.12,318.11,15611,Yusuf Hassan,6
MNT-0213,AST-038,2024-12-24,Routine Service,Auto Services Kenya,Eldoret,13931,"Routine Service - Spark plugs, Oil",Spark plugs|Oil|Engine oil filter,3,181.76,104.5,286.26,27606,Solomon Mukamana,4
MNT-0214,AST-039,2025-02-03,Repair,Auto Services Rwanda,Gisenyi,131517,Repair - Alternator,Alternator,4,437.2,141.95,579.15,145056,Aisha Khamis,8
MNT-0215,AST-039,2024-06-18,Emergency Repair,Auto Services Rwanda,Gisenyi,143345,Emergency Repair - Fuel pump,Fuel pump,10,342.29,322.21,664.5,153668,Paul Ali,13
MNT-0216,AST-039,2025-01-21,Routine Service,Auto Services Rwanda,Gisenyi,148391,"Routine Service - Fuel filter, Spark plugs",Fuel filter|Spark plugs|Engine oil filter,3,139.64,138.3,277.94,161658,Mary Omari,7
MNT-0217,AST-039,2024-11-05,Emergency Repair,Auto Services Rwanda,Gisenyi,130838,Emergency Repair - Fan belt,Fan belt,6,515.61,297.23,812.84,144981,Claude Bakari,7
MNT-0218,AST-039,2024-12-06,Repair,Auto Services Rwanda,Gisenyi,145791,"Repair - Radiator, Suspension parts",Radiator|Suspension parts|Battery,5,397.9,241.88,639.78,156430,Francis Nsengimana,7
MNT-0219,AST-039,2024-08-16,Routine Service,Auto Services Rwanda,Gisenyi,169022,"Routine Service - Air filter, Engine oil filter",Air filter|Engine oil filter,2,112.15,72.8,184.95,182002,Mary Abebe,3
MNT-0220,AST-039,2024-12-29,Repair,Auto Services Rwanda,Gisenyi,133654,Repair - Battery,Battery,9,414.84,446.06,860.91,144294,Ahmed Njoroge,11
MNT-0221,AST-040,2024-06-29,Routine Service,Auto Services Kenya,Mombasa,153873,"Routine Service - Oil, Air filter",Oil|Air filter,2,161.07,70.92,231.99,163959,Mulugeta Nsubuga,6
MNT-0222,AST-040,2024-10-18,Emergency Repair,Auto Services Kenya,Mombasa,195666,"Emergency Repair - Fuel pump, Water pump",Fuel pump|Water pump,6,492.19,291.12,783.32,209198,Ruth Niyonzima,9
MNT-0223,AST-040,2024-05-20,Routine Service,Auto Services Kenya,Mombasa,177176,"Routine Service - Air filter, Engine oil filter",Air filter|Engine oil filter,3,92.05,137.89,229.95,191868,Paul Tesfaye,5
MNT-0224,AST-040,2024-01-30,Repair,Auto Services Kenya,Mombasa,169629,Repair - Radiator,Radiator,5,364.97,220.06,585.03,180213,Daniel Hassan,9
MNT-0225,AST-040,2024-11-03,Repair,Auto Services Kenya,Mombasa,166443,"Repair - Brake pads, Suspension parts",Brake pads|Suspension parts|Radiator,10,527.09,476.65,1003.74,180558,Joseph Bakari,13
MNT-0226,AST-041,2024-04-26,Routine Service,Auto Services Kenya,Mombasa,201277,"Routine Service - Engine oil filter, Spark plugs",Engine oil filter|Spark plugs|Oil,2,109.56,69.52,179.08,212022,Solomon Mukasa,6
MNT-0227,AST-041,2024-07-16,Routine Service,Auto Services Kenya,Mombasa,203731,"Routine Service - Air filter, Oil",Air filter|Oil|Engine oil filter,3,83.8,126.06,209.86,214676,Francis Haile,4
MNT-0228,AST-041,2025-01-21,Routine Service,Auto Services Kenya,Mombasa,191617,"Routine Service - Spark plugs, Engine oil filter",Spark plugs|Engine oil filter|Oil|Air filter,3,169.79,93.98,263.76,202449,Fatuma Kebede,7
MNT-0229,AST-041,2024-07-25,Routine Service,Auto Services Kenya,Mombasa,196814,"Routine Service - Oil, Engine oil filter",Oil|Engine oil filter,4,179.29,168.2,347.49,210688,Elizabeth Ssemakula,8
MNT-0230,AST-042,2024-04-18,Routine Service,Auto Services Tanzania,Mwanza,119347,"Routine Service - Fuel filter, Air filter",Fuel filter|Air filter,5,85.67,192.36,278.04,130309,Agnes Mugisha,8
MNT-0231,AST-042,2024-03-17,Routine Service,Auto Services Tanzania,Mwanza,108978,"Routine Service - Engine oil filter, Spark plugs",Engine oil filter|Spark plugs|Oil|Air filter,3,147.98,132.67,280.64,123323,Mulugeta Khamis,5
MNT-0232,AST-042,2024-03-19,Routine Service,Auto Services Tanzania,Mwanza,118569,"Routine Service - Air filter, Fuel filter",Air filter|Fuel filter|Oil,2,153.53,99.44,252.97,128837,Zainab Ali,3
MNT-0233,AST-042,2024-09-13,Routine Service,Auto Services Tanzania,Mwanza,149495,"Routine Service - Spark plugs, Oil",Spark plugs|Oil|Engine oil filter,5,199.32,152.37,351.69,161873,Sara Girma,7
MNT-0234,AST-042,2024-06-19,Routine Service,Auto Services Tanzania,Mwanza,112302,"Routine Service - Fuel filter, Air filter",Fuel filter|Air filter,3,88.25,124.62,212.87,125711,Meseret Hassan,6
MNT-0235,AST-042,2024-08-24,Routine Service,Auto Services Tanzania,Mwanza,114683,"Routine Service - Fuel filter, Engine oil filter",Fuel filter|Engine oil filter|Oil,2,164.62,89.07,253.69,129415,Yohannes Otieno,5
MNT-0236,AST-043,2024-08-19,Repair,Auto Services Tanzania,Mwanza,165109,Repair - Radiator,Radiator,5,488.22,236.16,724.38,179788,Getachew Mugisha,6
MNT-0237,AST-043,2024-08-06,Routine Service,Auto Services Tanzania,Mwanza,158887,"Routine Service - Fuel filter, Oil",Fuel filter|Oil|Spark plugs,5,143.58,201.26,344.84,169700,Joshua Juma,6
MNT-0238,AST-043,2024-11-30,Routine Service,Auto Services Tanzania,Mwanza,160507,"Routine Service - Engine oil filter, Oil",Engine oil filter|Oil|Spark plugs|Fuel filter,3,182.17,149.98,332.15,171956,Patrick Alemu,5
MNT-0239,AST-043,2024-02-06,Routine Service,Auto Services Tanzania,Mwanza,175416,"Routine Service - Oil, Air filter",Oil|Air filter|Engine oil filter|Spark plugs,4,198.86,120.25,319.11,187490,Ahmed Musoke,8
MNT-0240,AST-043,2024-06-17,Repair,Auto Services Tanzania,Mwanza,137974,"Repair - Radiator, Brake pads",Radiator|Brake pads|Alternator,4,591.11,164.18,755.3,150544,Sara Rashid,6
MNT-0241,AST-043,2024-01-12,Routine Service,Auto Services Tanzania,Mwanza,146933,"Routine Service - Spark plugs, Engine oil filter",Spark plugs|Engine oil filter|Air filter|Oil,4,153.34,122.54,275.88,159532,Eric Bizimana,5
MNT-0242,AST-044,2024-10-23,Repair,Auto Services Uganda,Jinja,72971,Repair - Alternator,Alternator,10,584.0,411.39,995.39,85120,Sara Bakari,14
MNT-0243,AST-044,2024-04-27,Routine Service,Auto Services Uganda,Jinja,78202,"Routine Service - Oil, Spark plugs",Oil|Spark plugs|Fuel filter,4,138.27,146.54,284.82,88997,Zainab Kebede,7
MNT-0244,AST-044,2024-12-13,Repair,Auto Services Uganda,Jinja,104386,"Repair - Suspension parts, Alternator",Suspension parts|Alternator,5,551.53,226.86,778.39,115601,Zainab Ochieng,7
MNT-0245,AST-044,2024-11-28,Routine Service,Auto Services Uganda,Jinja,63960,"Routine Service - Engine oil filter, Oil",Engine oil filter|Oil|Spark plugs|Air filter,3,138.4,143.88,282.27,78200,Fatuma Mwangi,5
MNT-0246,AST-044,2024-03-15,Repair,Auto Services Uganda,Jinja,103683,"Repair - Radiator, Alternator",Radiator|Alternator,9,337.59,368.33,705.92,115576,Christine Uwase,10
MNT-0247,AST-044,2024-06-17,Repair,Auto Services Uganda,Jinja,76616,Repair - Brake pads,Brake pads,4,206.16,190.1,396.26,88962,Mary Hamisi,6
MNT-0248,AST-044,2024-04-15,Routine Service,Auto Services Uganda,Jinja,91368,"Routine Service - Oil, Fuel filter",Oil|Fuel filter|Air filter,4,92.99,143.27,236.26,101502,Halima Bakari,6
MNT-0249,AST-045,2024-04-30,Routine Service,Auto Services Ethiopia,Mekele,110934,"Routine Service - Oil, Fuel filter",Oil|Fuel filter|Engine oil filter|Spark plugs,5,169.75,194.17,363.93,123557,Hanna Girma,8
MNT-0250,AST-045,2024-09-09,Routine Service,Auto Services Ethiopia,Mekele,106490,"Routine Service - Spark plugs, Fuel filter",Spark plugs|Fuel filter|Air filter,5,175.34,160.79,336.12,120475,Sarah Wanjiru,6
MNT-0251,AST-045,2024-10-07,Routine Service,Auto Services Ethiopia,Mekele,72532,"Routine Service - Fuel filter, Engine oil filter",Fuel filter|Engine oil filter|Air filter|Oil,4,179.09,148.84,327.93,86886,Grace Chebet,7
MNT-0252,AST-045,2024-12-22,Routine Service,Auto Services Ethiopia,Mekele,102603,"Routine Service - Air filter, Engine oil filter",Air filter|Engine oil filter,5,134.19,184.41,318.6,113632,Francis Nakato,9
MNT-0253,AST-045,2024-10-31,Repair,Auto Services Ethiopia,Mekele,82367,Repair - Brake pads,Brake pads,10,592.67,457.33,1050.0,93575,Faith Omari,13
MNT-0254,AST-045,2024-06-25,Emergency Repair,Auto Services Ethiopia,Mekele,109486,"Emergency Repair - Fan belt, Water pump",Fan belt|Water pump,7,257.98,214.99,472.96,121105,Zainab Nsengimana,9
MNT-0255,AST-045,2024-12-03,Routine Service,Auto Services Ethiopia,Mekele,111292,"Routine Service - Engine oil filter, Fuel filter",Engine oil filter|Fuel filter,2,90.05,95.03,185.08,125864,Ruth Ochieng,3
MNT-0256,AST-046,2024-07-09,Repair,Auto Services Kenya,Nakuru,14961,"Repair - Radiator, Brake pads",Radiator|Brake pads|Alternator,7,452.12,250.14,702.26,29422,Samuel Desta,8
MNT-0257,AST-046,2024-03-03,Repair,Auto Services Kenya,Nakuru,18333,"Repair - Alternator, Radiator",Alternator|Radiator,8,306.1,279.74,585.84,32401,Samuel Kamau,10
MNT-0258,AST-046,2024-11-15,Repair,Auto Services Kenya,Nakuru,-6312,"Repair - Brake pads, Suspension parts",Brake pads|Suspension parts|Battery,5,405.34,202.71,608.05,5088,Fatuma Haile,7
MNT-0259,AST-046,2024-08-27,Routine Service,Auto Services Kenya,Nakuru,-5267,"Routine Service - Fuel filter, Air filter",Fuel filter|Air filter|Engine oil filter|Oil,3,117.03,134.24,251.27,5526,Almaz Tesfaye,4
MNT-0260,AST-046,2024-09-30,Routine Service,Auto Services Kenya,Nakuru,-3271,"Routine Service - Air filter, Spark plugs",Air filter|Spark plugs|Fuel filter,5,188.61,233.74,422.34,11575,Zainab Kamau,6
MNT-0261,AST-047,2024-05-10,Repair,Auto Services Rwanda,Kigali,29658,"Repair - Alternator, Suspension parts",Alternator|Suspension parts|Brake pads,10,259.54,365.18,624.73,40594,Mulugeta Worku,14
MNT-0262,AST-047,2024-12-29,Routine Service,Auto Services Rwanda,Kigali,-5472,"Routine Service - Air filter, Spark plugs",Air filter|Spark plugs|Oil,3,82.54,94.5,177.04,6949,Zainab Ali,6
